Date/Time,Word Count,en,ru
2026.06.07-23.13.05,0,0,0
2026.06.07-23.19.49,4352,0,4352
2026.06.07-23.25.50,0,0,0
2026.06.07-23.57.38,676,0,676
2026.06.08-00.02.07,676,1,676
2026.06.24-11.35.28,1397,1,1397
2026.06.24-11.37.00,1954,1,1954
2026.06.24-11.45.47,1954,636,1954
2026.06.24-11.59.54,1954,1302,1954
2026.06.24-12.10.17,1954,1342,1954
2026.06.24-13.09.03,1954,1954,1954
2026.06.29-19.27.11,2039,1954,2039
2026.06.29-19.28.41,2039,2039,2039
2026.06.30-13.20.44,2127,2018,2127
2026.06.30-13.24.14,2127,2042,2127
2026.06.30-13.28.32,2127,2127,2127
2026.07.01-16.48.37,2129,2127,2129
2026.07.01-16.49.19,2129,2129,2129
